date,average,count,min,max,measurement_network_name,measurement_network_displayname,measurement_network_id,measurement_network_tag
2022-03-21T22:00:00,18832.0,24.0,5837.0,115882.0,,,,
2022-03-21T23:00:00,21393.0,24.0,4658.0,101495.0,,,,
2022-03-22T00:00:00,22912.0,27.0,6240.0,121262.0,,,,
2022-03-22T01:00:00,23232.0,24.0,4813.0,92896.0,,,,
2022-03-22T02:00:00,19143.0,24.0,5427.0,90817.0,,,,
2022-03-22T03:00:00,16417.0,23.0,5068.0,45459.0,,,,
2022-03-22T04:00:00,15894.0,22.0,4418.0,50133.0,,,,
2022-03-22T05:00:00,55061.0,27.0,5388.0,767667.0,,,,
2022-03-22T06:00:00,19275.0,24.0,4056.0,44969.0,,,,
2022-03-22T07:00:00,52123.0,22.0,3912.0,571000.0,,,,
2022-03-22T08:00:00,20336.0,24.0,5936.0,53745.0,,,,
2022-03-22T09:00:00,17099.0,24.0,5479.0,39571.0,,,,
2022-03-22T10:00:00,17148.0,26.0,5170.0,38104.0,,,,
2022-03-22T11:00:00,16043.0,24.0,4981.0,36907.0,,,,
2022-03-22T12:00:00,15597.0,24.0,5347.0,89870.0,,,,
2022-03-22T13:00:00,12377.0,24.0,1967.0,30921.0,,,,
2022-03-22T14:00:00,21003.0,24.0,4254.0,91700.0,,,,
2022-03-22T15:00:00,18606.0,24.0,5420.0,52710.0,,,,
2022-03-22T16:00:00,29657.0,22.0,3705.0,213087.0,,,,
2022-03-22T17:00:00,26045.0,26.0,4579.0,244763.0,,,,
2022-03-22T18:00:00,16296.0,24.0,4717.0,77404.0,,,,
2022-03-22T19:00:00,21918.0,23.0,3921.0,85995.0,,,,
2022-03-22T20:00:00,21207.0,24.0,6093.0,55946.0,,,,
2022-03-22T21:00:00,14743.0,24.0,4950.0,42623.0,,,,
2022-03-22T22:00:00,19347.0,25.0,5974.0,48517.0,,,,
2022-03-22T23:00:00,22322.0,25.0,5053.0,65907.0,,,,
2022-03-23T00:00:00,50454.0,24.0,6180.0,862460.0,,,,
2022-03-23T01:00:00,13979.0,25.0,4674.0,43214.0,,,,
2022-03-23T02:00:00,20311.0,23.0,4692.0,83678.0,,,,
2022-03-23T03:00:00,18818.0,24.0,6158.0,53981.0,,,,
